tray_id,tray_name,rack,shelf,notes
TRAY-006,0173/6/9,AA,1,
TRAY-007,Blank Vintage,AA,1,
TRAY-008,158/176/179,AA,1,
TRAY-009,CG2 105/110/122/131/158,AA,1,
TRAY-010,146/254 Scribble,AA,1,
TRAY-011,148/199/276/322/325,AA,1,
TRAY-012,0164,AA,1,
TRAY-013,164,AA,1,
TRAY-014,245/110/124,AA,1,
TRAY-015,231/279/232/257/255,AA,1,
TRAY-016,431/438/313/345/432/328,AA,1,
TRAY-017,354/264/282/254/261/290,AA,1,
TRAY-018,265/282/276/264/268,AA,1,
TRAY-019,264/266/261/263,AA,1,
TRAY-020,254/255/256,AA,1,
TRAY-021,301/673/351/305/224,AA,1,
TRAY-022,324/325,AA,1,
TRAY-023,199/206/222,AA,1,
TRAY-024,384/391/340/394/412/404/410,AA,1,
TRAY-025,254/259/256,AA,1,
TRAY-026,328/301/599/321/307,AA,1,
TRAY-027,446/448/179/456/454/464,AA,1,
TRAY-028,0317,AA,1,
TRAY-029,Comme Des Garcons,AA,1,
TRAY-030,0001/0003,AA,1,
TRAY-031,Scribble 467,AA,1,
TRAY-032,325/383/465/472/495/324,AA,1,
TRAY-033,241/252/245/250/249/248/246,AA,1,
TRAY-034,345/346,AA,1,
TRAY-035,267/305/412/356/405/368,AA,1,
TRAY-036,259,AA,1,
TRAY-037,287/288/289/284/294,AA,1,
